cat,name,cal,p,c,fat,fiber,sugar,sodium,serv,note
Drinks,Black Tea Unsweetened,1,0,0.3,0,0,0,1,100,
Drinks,Coffee Black,1,0.1,0,0,0,0,2,100,
Drinks,Cold Brew Black,2,0.2,0,0,0,0,2,100,Brand-specific estimate.
Drinks,Espresso,9,0.1,1.7,0.2,0,0,14,100,Per 100g; actual shot is much smaller.
Drinks,Latte Whole Milk,61,3.1,4.7,3.3,0,4.7,41,100,Unsweetened latte estimate based mainly on whole milk.
Drinks,Latte Skim Milk,34,3.4,5,0.1,0,5,42,100,Unsweetened latte estimate based mainly on skim milk.
Drinks,Cappuccino Whole Milk,45,2.3,3.5,2.4,0,3.5,31,100,Varies by milk/foam ratio.
Drinks,Coffee Creamer Liquid,195,2.5,25,9,0,24,140,100,Brand-specific; use label for exact.
Drinks,Unsweetened Almond Milk Beverage,15,0.6,0.3,1.2,0.2,0,60,100,Same as dairy category; drink shortcut.
Drinks,Soy Milk Unsweetened,33,3.3,1.2,1.8,0.6,0.5,40,100,Brand-specific estimate.
Drinks,Soy Milk Original,54,3.3,6.3,1.8,0.6,4,40,100,Brand-specific estimate.
Drinks,Oat Milk Unsweetened,46,1,6.7,1.5,0.8,4,46,100,Brand-specific estimate.
Drinks,Chocolate Milk Low Fat,83,3.2,10.3,1.0,0,9.5,60,100,Brand-specific estimate.
Drinks,Protein Shake Fairlife Style,67,10,3,1.5,0,2,70,100,RTD protein drink estimate; use label for exact.
Drinks,Premier Protein Shake Style,63,10,1.7,1,0,0.3,62,100,RTD protein drink estimate; use label for exact.
Drinks,Muscle Milk Style Protein Shake,65,6.5,4.5,2.5,1,0.5,70,100,RTD protein drink estimate; use label for exact.
Drinks,Ensure Original Style,104,3.7,15,3.2,0.4,10,85,100,Nutrition shake estimate; use label for exact.
Drinks,Energy Drink Regular,45,0,11.3,0,0,11,30,100,Brand-specific estimate.
Drinks,Energy Drink Sugar Free,2,0,0.5,0,0,0,30,100,Brand-specific estimate.
Drinks,Red Bull Regular,45,0.4,11,0,0,11,39,100,Brand-specific estimate.
Drinks,Red Bull Sugar Free,3,0.3,0.7,0,0,0,39,100,Brand-specific estimate.
Drinks,Monster Regular,47,0,12,0,0,11,34,100,Brand-specific estimate.
Drinks,Monster Ultra Zero,2,0,0.5,0,0,0,34,100,Brand-specific estimate.
Drinks,BodyArmor Regular,28,0,7,0,0,7,13,100,Brand-specific estimate.
Drinks,BodyArmor Lyte,8,0,2,0,0,1.5,13,100,Brand-specific estimate.
Drinks,Vitaminwater Regular,21,0,5.3,0,0,5.3,0,100,Brand-specific estimate.
Drinks,Vitaminwater Zero,0,0,0,0,0,0,0,100,Brand-specific estimate.
Drinks,Kombucha,19,0,4,0,0,3,6,100,Brand-specific; sugar varies widely.
Drinks,Smoothie Fruit Generic,55,0.8,13,0.2,1.5,10,4,100,Recipe-dependent estimate.
Drinks,Meal Replacement Shake Generic,90,5,11,2.5,1.5,6,70,100,Recipe/brand-dependent estimate.
Other,Custom Calories Only,100,0,25,0,0,0,0,100,Use this as a placeholder when only calories are known; edit macros if needed.
Other,Custom Protein Only,400,100,0,0,0,0,0,100,Placeholder per 100g protein; use for temporary custom entry.
Other,Custom Carb Only,400,0,100,0,0,0,0,100,Placeholder per 100g carbs; use for temporary custom entry.
Other,Custom Fat Only,900,0,0,100,0,0,0,100,Placeholder per 100g fat; use for temporary custom entry.
Other,Table Sugar,387,0,100,0,0,100,1,100,
Other,Brown Sugar,380,0.1,98,0,0,97,28,100,
Other,Sugar Free Syrup,20,0,5,0,0,0,60,100,Brand-specific estimate.
Other,Pancake Syrup Regular,265,0,69,0,0,45,67,100,Brand-specific estimate.
Other,Jam / Jelly,278,0.4,69,0.1,1,49,32,100,
Other,Peanut Butter Powder,375,50,37.5,12.5,12.5,12.5,750,100,Brand-specific estimate.
Other,Cocoa Powder Unsweetened,228,19.6,57.9,13.7,37,1.8,21,100,
Other,Milk Chocolate,535,7.7,59.4,29.7,3.4,51.5,79,100,
Other,Marshmallows,318,1.8,81.3,0.2,0.1,57.6,80,100,
Other,Gelatin Sugar Free Prepared,8,1.6,0,0,0,0,50,100,Brand-specific estimate.
Other,Pickles Dill,12,0.5,2.4,0.2,1,1.1,809,100,Sodium varies widely.
Other,Low Sodium Pickles,12,0.5,2.4,0.2,1,1.1,250,100,Brand-specific estimate.
Other,Protein Cereal Generic,360,35,45,6,8,8,400,100,Brand-specific estimate.
Other,Granola Bar Generic,410,8,68,12,5,25,250,100,Brand-specific estimate.
Other,Trail Mix,462,14,44,29,7,28,95,100,Blend-dependent estimate.
Other,Dried Cranberries,325,0.1,83,1.1,5.3,65,3,100,
Other,Raisins,299,3.1,79,0.5,3.7,59,11,100,
Other,Croutons,407,12,73,7,5,5,698,100,
Other,Chicken Broth,7,1,0.4,0.2,0,0.2,343,100,Sodium varies widely.
Other,Beef Broth,5,0.6,0.3,0.2,0,0.1,340,100,Sodium varies widely.
Other,Bone Broth,20,4,0,0,0,0,120,100,Brand-specific estimate.
Other,Electrolyte Powder Mixed,5,0,1,0,0,0,200,100,Brand/serving dependent; use label.
Other,Creatine Monohydrate,0,0,0,0,0,0,0,100,Supplement no macros; track separately if needed.
Other,Pre Workout Powder,10,0,2,0,0,0,100,100,Brand-specific estimate.
Other,BCAA / EAA Powder,20,5,0,0,0,0,50,100,Brand-specific estimate; amino acids may count as protein calories.
Other,Zero Calorie Sweetener,0,0,0,0,0,0,0,100,Check label; some packets have small carbs.
Other,Almond Flour,571,21,21,50,11,4,1,100,
Other,Coconut Flour,400,20,60,13,33,7,200,100,Brand-specific estimate.
Other,All Purpose Flour,364,10,76,1,3,0.3,2,100,
Other,Baking Powder,53,0,28,0,0,0,10600,100,Used in small amounts; sodium high per 100g.
Other,Cornstarch,381,0.3,91,0.1,0.9,0,9,100,
